,eng,part,mean
17158,pursued,verb,"To follow urgently, originally with intent to capture or harm; to chase."
17159,pursuing,verb,"To follow urgently, originally with intent to capture or harm; to chase."
17160,pursuit,noun,The act of pursuing.
17161,pursuits,noun,The act of pursuing.
17162,purview,noun,The enacting part of a statute.
17163,pus,noun,A whitish-yellow or yellow substance composed primarily of dead white blood cells and dead pyogenic bacteria; normally found in regions of bacterial infection.
17164,push,noun,"A short, directed application of force; an act of pushing."
17165,pushed,verb,To apply a force to (an object) such that it moves away from the person or thing applying the force.
17166,pusher,noun,Someone or something that pushes.
17167,pushers,noun,Someone or something that pushes.
17168,pushes,noun,"A short, directed application of force; an act of pushing."
17169,pushing,verb,To apply a force to (an object) such that it moves away from the person or thing applying the force.
17170,pushover,noun,Someone who is easily swayed or influenced to change his/her mind or comply.
17171,pushy,adjective,"Aggressively ambitious; overly assertive, bold or determined."
17172,puss,noun,(often as a term of address) A cat.
17173,pussies,noun,A cat.
17174,pussy,noun,A cat.
17175,pussycat,noun,A cat; a pussy.
17176,put,noun,A right to sell something at a predetermined price.
17177,putrid,adjective,"Rotting, rotten, being in a state of putrefaction."
17178,puts,noun,A right to sell something at a predetermined price.
17179,putter,verb,"To be active, but not excessively busy, at a task or a series of tasks."
17180,putting,verb,To place something somewhere.
17181,putty,noun,"A form of cement, made from linseed oil and whiting, used to fix panes of glass."
17182,puzzle,noun,Anything that is difficult to understand or make sense of.
17183,puzzled,verb,To perplex (someone).
17184,puzzles,noun,Anything that is difficult to understand or make sense of.
17185,puzzling,verb,To perplex (someone).
17186,pygmies,noun,"(often capitalized) A member of one of various Ancient Equatorial African tribal peoples, notable for their very short stature."
17187,pygmy,noun,"(often capitalized) A member of one of various Ancient Equatorial African tribal peoples, notable for their very short stature."
17188,pyjamas,noun,"Clothes for wearing to bed and sleeping in, usually consisting of a loose-fitting shirt and pants/trousers."
17189,pyramid,noun,"An ancient massive construction with a square or rectangular base and four triangular sides meeting in an apex, such as those built as tombs in Egypt or as bases for temples in Mesoamerica."
17190,pyramids,noun,"An ancient massive construction with a square or rectangular base and four triangular sides meeting in an apex, such as those built as tombs in Egypt or as bases for temples in Mesoamerica."
17191,pyre,noun,A funeral pile; a combustible heap on which corpses are burned.
17192,pyromaniac,noun,A person suffering from pyromania
17193,pyrotechnics,noun,The art and technology of fireworks and related military applications.
17194,quack,noun,The sound made by a duck.
17195,quacks,noun,The sound made by a duck.
17196,quad,noun,Four shots of espresso.
17197,quadrant,noun,One of the four sections made by dividing an area with two perpendicular lines.
17198,quahog,noun,"An edible clam with a hard shell found along the Atlantic Coast of North America, from species Mercenaria mercenaria, formerly Venus mercenaria."
17199,quaint,adjective,"Of a person: cunning, crafty."
17200,quake,noun,A trembling or shaking.
17201,quaker,noun,Any of various lycaenid butterflies of the genus Pithecops.
17202,quaking,verb,To tremble or shake.
17203,qualifications,noun,"The act or process of qualifying for a position, achievement etc."
17204,qualified,adjective,"Meeting the standards, requirements, and training for a position."
17205,qualifies,verb,To describe or characterize something by listing its qualities.
17206,qualify,noun,An instance of throwing and catching each prop at least twice.
17207,qualifying,verb,To describe or characterize something by listing its qualities.
17208,qualities,noun,Level of excellence.
17209,quality,noun,Level of excellence.
17210,qualms,noun,"A feeling of apprehension, doubt, fear etc."
17211,quandary,noun,"A state of not knowing what to decide; a state of difficulty or perplexity; a state of uncertainty, hesitation or puzzlement."
17212,quantities,noun,"A fundamental, generic term used when referring to the measurement (count, amount) of a scalar, vector, number of items or to some other way of denominating the value of a collection or group of items."
17213,quantity,noun,"A fundamental, generic term used when referring to the measurement (count, amount) of a scalar, vector, number of items or to some other way of denominating the value of a collection or group of items."
17214,quantum,noun,The total amount of something; quantity.
17215,quarantine,noun,The desert in which Christ fasted for 40 days according to the Bible.
17216,quarantined,verb,"To retain in obligatory isolation or separation, as a sanitary measure to prevent the spread of contagious disease."
17217,quark,noun,"In the Standard Model, an elementary subatomic particle that forms matter. They combine to form hadrons, such as protons and neutrons."
17218,quarrel,noun,A verbal dispute or heated argument.
17219,quarreled,verb,To disagree.
17220,quarry,noun,"A site for mining stone, limestone, or slate."
17221,quart,noun,A unit of liquid capacity equal to two pints; one-fourth (quarter) of a gallon. Equivalent to 1.136 liters in the UK and 0.946 liter (liquid quart) or 1.101 liters (dry quart) in the U.S.
17222,quarter,noun,A fourth part of something.
17223,quarterback,noun,An offensive back whose primary job is to pass the ball in a play.
17224,quarterbacks,noun,An offensive back whose primary job is to pass the ball in a play.
17225,quarters,noun,A fourth part of something.
17226,quartet,noun,"A music composition in four parts, each performed by a single voice or instrument."
17227,queasy,adjective,"Experiencing or causing nausea or uneasiness, often characterized by an unsettled stomach."
17228,queen,noun,A female monarch. Example: Queen Victoria.
17229,queens,noun,A female monarch. Example: Queen Victoria.
17230,queer,noun,"(sometimes derogatory) A person who is or appears homosexual, or who has homosexual qualities."
17231,queers,noun,"(sometimes derogatory) A person who is or appears homosexual, or who has homosexual qualities."
17232,quell,noun,A subduing.
17233,query,noun,"A question, an inquiry (US), an enquiry (UK)."
17234,quest,noun,"A journey or effort in pursuit of a goal (often lengthy, ambitious, or fervent); a mission."
17235,question,noun,"A sentence, phrase or word which asks for information, reply or response; an interrogative."
